N,regen,protocol,memory,seed,U_total,cooperation,gini,stability_var,collapsed,t_collapse,U_per_agent
5,8,no_chat,M0,4,242,0.4622222222222222,0.17190082644628113,0.15644444444444444,0,-1,"[38, 38, 38, 90, 38]"
5,8,no_chat,M1,0,242,0.4622222222222222,0.17190082644628113,0.15644444444444444,0,-1,"[38, 90, 38, 38, 38]"
5,8,no_chat,M1,1,242,0.4622222222222222,0.17190082644628113,0.15644444444444444,0,-1,"[38, 38, 38, 90, 38]"
5,8,no_chat,M1,2,242,0.4622222222222222,0.17190082644628113,0.15644444444444444,0,-1,"[38, 38, 38, 38, 90]"
5,8,no_chat,M1,3,242,0.4622222222222222,0.17190082644628113,0.15644444444444444,0,-1,"[90, 38, 38, 38, 38]"
5,8,no_chat,M1,4,242,0.4622222222222222,0.17190082644628113,0.15644444444444444,0,-1,"[38, 38, 38, 90, 38]"
5,8,roundtable,M0,0,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 90, 30, 60, 30]"
5,8,roundtable,M0,1,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 60, 90, 30]"
5,8,roundtable,M0,2,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 30, 60, 90]"
5,8,roundtable,M0,3,240,0.4666666666666667,0.25,0.0,0,-1,"[90, 30, 60, 30, 30]"
5,8,roundtable,M0,4,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 30, 90, 60]"
5,8,roundtable,M1,0,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 90, 30, 60, 30]"
5,8,roundtable,M1,1,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 60, 90, 30]"
5,8,roundtable,M1,2,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 30, 60, 90]"
5,8,roundtable,M1,3,240,0.4666666666666667,0.25,0.0,0,-1,"[90, 30, 60, 30, 30]"
5,8,roundtable,M1,4,240,0.4666666666666667,0.25,0.0,0,-1,"[30, 30, 30, 90, 60]"
